사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
커리어,한국골프캐디협회,대기업 골프장호텔 외식사업부(정규직)모집,"레저.스포츠, 외식.식음료.요리",신입 학력무관,정규직,경기 전지역,,2026-09-08,https://job.career.co.kr/recruit/view/21975838,,2026-09-07 18:26:17
커리어,우리세무회계사무소,세무 회계 정규직 채용 - 탄력적 단축근무 시행,회계.세무.CPA,경력 2년 학력무관,정규직,경기 화성시,,2026-10-30,https://job.career.co.kr/recruit/view/22097197,,2026-09-07 18:26:17
커리어,(주)가치정보기술,산업별/지역별  SI/SM  프로젝트  안내,"웹프로그래머, 응용프로그래머",경력 3년 학력무관,"정규직,","프리랜서, 계약직 전국 전지역",,2026-11-17,https://job.career.co.kr/recruit/view/22139956,,2026-09-07 18:26:17
커리어,(주)동화세상에듀코,전국 재택근무 및 화상수업 비대면면접 초중고등 학생들의 멘토가 되어주실 국어 영어 수학 과학선생님,"입시.보습.속셈학원강사, 학습지.과외.방문",경력무관 대졸(4년)↑,위촉직,전국 전지역,,2026-09-30,https://job.career.co.kr/recruit/view/22031995,,2026-09-07 18:26:17
커리어,제주특별자치도청,2026년 제3회 제주특별자치도 공공기관 직원 통합채용,"경영.전략.기획, 총무.법무.사무, 생산.제조.조립.설비, 기계.전기.소방.설비, 시공.현장.감리.공무, 응용프로그래머",무관 2년 학력무관,정규직,제주 전지역,,2026-09-22,https://job.career.co.kr/recruit/view/22175828,,2026-09-07 18:26:17
커리어,한국교육방송공사,한국교육방송공사 2026년 9월 계약직원 공개채용 공고,"경영.전략.기획, 총무.법무.사무, 경리.세무.회계, 인사.교육.HR, 사무보조.문서작성, 마케팅.브랜드, 웹기획.웹마케팅.PM, 콘텐츠.사이트운영, 웹디자인, 서버.보안.네트워크.DB, 인공지능(AI).빅데이터, ",경력무관 학력무관,계약직,경기 고양시 일산동구,,2026-09-11,https://job.career.co.kr/recruit/view/22182987,,2026-09-07 18:26:17
커리어,건설공제조합,건설공제조합 IT개발 경력직 채용 공고,"웹프로그래머, 응용프로그래머, 서버.보안.네트워크.DB, 게임기획.개발.운영, 인공지능(AI).빅데이터",경력 10년 학력무관,정규직,서울 강남구,,2026-09-08,https://job.career.co.kr/recruit/view/22179493,,2026-09-07 18:26:17
커리어,한국교육방송공사,EBS 자기주도학습센터 울산권 총괄 책임자 계약직원 공개채용,총무.법무.사무,경력 5년 학력무관,계약직,울산 전지역,,2026-09-07,https://job.career.co.kr/recruit/view/22172096,,2026-09-07 18:26:17
커리어,한국지능정보사회진흥원,2026년 한국지능정보사회진흥원 하반기 정규직 및 무기계약직(일반직) 채용공고,"경영.전략.기획, 경리.세무.회계, 재무.자금.IR, 서버.보안.네트워크.DB, 인공지능(AI).빅데이터",경력무관 학력무관,"정규직,",계약직 대구 동구,,2026-09-14,https://job.career.co.kr/recruit/view/22172095,,2026-09-07 18:26:17
커리어,한국소방산업기술원,2026년 제2차 한국소방산업기술원 체험형 청년인턴 채용,"경영.전략.기획, 총무.법무.사무, 기계.전기.소방.설비, 건물.시설관리.주차관리",경력무관 학력무관,인턴직,경기 용인시 기흥구,,2026-09-14,https://job.career.co.kr/recruit/view/22172094,,2026-09-07 18:26:17
커리어,한국에너지기술평가원,한국에너지기술평가원 2026년도 제3차 신규직원 채용 공고,"경영.전략.기획, 총무.법무.사무, 특허.법무, 연구직.공학개발직",무관 년수무관 학력무관,"정규직,",계약직 서울 강남구,,2026-09-11,https://job.career.co.kr/recruit/view/22162721,,2026-09-07 18:26:17
커리어,한국보건산업진흥원,"한국보건산업진흥원 2026년 3분기 계약직원(휴직대체, 사업수행, 청년인턴, 장애인, R&D 사업 기획 및 관리","경영.전략.기획, 총무.법무.사무, 연구직.공학개발직",경력무관 학력무관,"인턴직,",계약직 서울 전지역,,2026-09-07,https://job.career.co.kr/recruit/view/22159183,,2026-09-07 18:26:17
커리어,쿠팡로지스틱스서비스(유),[전국/ 경력무관]쿠팡CLS 지게차(입출고 오퍼레이터)전국 채용,생산.제조.조립.설비,경력무관 학력무관,계약직,전국 전지역,,2026-12-31,https://job.career.co.kr/recruit/view/21623362,,2026-09-07 18:26:17
커리어,쿠팡로지스틱스서비스(유),[월최대 504만원] 쿠팡배송기사님 전국 채용 (CLS/택배/초보가능),배송.운전.택배,경력무관 학력무관,계약직,전국 전지역,,2026-12-31,https://job.career.co.kr/recruit/view/21623363,,2026-09-07 18:26:17
커리어,한국보건산업진흥원,한국보건산업진흥원 2026년  하반기 신규직원(채용형인턴)채용 공고,"경영.전략.기획, 총무.법무.사무, 인사.교육.HR, 연구직.공학개발직, 인공지능(AI).빅데이터",경력무관 학력무관,인턴직,충북 청주시 흥덕구,,2026-09-07,https://job.career.co.kr/recruit/view/22154674,,2026-09-07 18:26:17
커리어,블루에이치알,월282만/최고복지 장한평 SKT 대표번호 114 인바운드 상담,"TM아웃바운드, CS.인바운드.고객센터",경력무관 고졸↑,정규직,서울 동대문구,,2026-11-24,https://job.career.co.kr/recruit/view/22154670,,2026-09-07 18:26:17
커리어,(주)와이즈에이아이,공시/IR 담당자 채용,"재무.자금.IR, 경영분석.컨설팅",경력 3년 학력무관,정규직,경기 성남시 분당구,,2026-09-19,https://job.career.co.kr/recruit/view/22144603,,2026-09-07 18:26:17
커리어,(주)스틸원,철강자재 운반 및 현장관리 채용,"구매.자재.재고, 유통.물류, 배송.운전.택배",경력무관 학력무관,정규직,경북 경주시,,2026-11-18,https://job.career.co.kr/recruit/view/22139969,,2026-09-07 18:26:17
커리어,(주)와이즈에이아이,영업 담당자 채용,"일반영업, 기술영업(IT.솔루션)","경력 3년 대졸(2,3년)↑",정규직,경기 성남시 분당구,,2026-09-18,https://job.career.co.kr/recruit/view/22139961,,2026-09-07 18:26:17
커리어,(주)와이즈에이아이,마케팅센터 팀원 채용,"마케팅.브랜드, 이벤트.행사.나레이터",경력 3년 학력무관,정규직,경기 성남시 분당구,,2026-09-18,https://job.career.co.kr/recruit/view/22139968,,2026-09-07 18:26:17
커리어,(주)와이즈에이아이,병원 전문 TM 팀원 채용,TM아웃바운드,경력무관 학력무관,정규직,경기 성남시 분당구,,2026-11-18,https://job.career.co.kr/recruit/view/22139966,,2026-09-07 18:26:17
커리어,(주)스카우트,[서해철도주식회사 2026년 신입직원 공개채용 공고] (입사지원: 8.28.~9.7.),기계.전기.소방.설비,신입 학력무관,정규직,경기 안산시 단원구,,2026-09-07,https://job.career.co.kr/recruit/view/22139963,,2026-09-07 18:26:17
커리어,(주)텐씨엘,[텐씨엘] 2026년 기업부설연구소 전자장비 유지보수 및 설치 엔지니어 채용,연구직.공학개발직,"경력 년수무관 대졸(2,3년)↑",정규직,서울 성동구,,2026-11-18,https://job.career.co.kr/recruit/view/22139960,,2026-09-07 18:26:17
커리어,아이피엑스 주식회사,[IPX (LINE FRIENDS)] 콘텐츠 제작 보조 아르바이트,시각.광고디자인,경력무관 학력무관,아르바이트,경기 과천시,,상시채용,https://job.career.co.kr/recruit/view/22080977,,2026-09-07 18:26:17
커리어,(주)링크프라이스,[링크프라이스] 온라인 검색광고 마케터 채용(신입),"마케팅.브랜드, 웹기획.웹마케팅.PM","경력무관 대졸(2,3년)↑",정규직,부산 동구,,상시채용,https://job.career.co.kr/recruit/view/22103185,,2026-09-07 18:26:17
커리어,(주)링크프라이스,"[부산범일동] 온라인 검색광고 마케터 신입 채용(3,000+성과급)","마케팅.브랜드, 웹기획.웹마케팅.PM","경력무관 대졸(2,3년)↑",정규직,부산 동구,,상시채용,https://job.career.co.kr/recruit/view/22103184,,2026-09-07 18:26:17
커리어,딜로이트 안진회계법인,T&T부문 기업 Risk Management 및 IT/DX 분야 컨설팅 계약직(전환형),"총무.법무.사무, 금융.자산관리, 경영분석.컨설팅",경력 1년 대졸(4년)↑,계약직,서울 영등포구,,2026-12-17,https://job.career.co.kr/recruit/view/22100388,,2026-09-07 18:26:17
커리어,딜로이트 안진회계법인,T&T부문 정보보안 및 개인정보보호 컨설팅 경력직,"경영분석.컨설팅, 서버.보안.네트워크.DB, 전자.제어.전기",경력 2년 대졸(4년)↑,정규직,서울 영등포구,,2026-12-17,https://job.career.co.kr/recruit/view/22100385,,2026-09-07 18:26:17
커리어,딜로이트 안진회계법인,T&T부문 정보보안 컨설팅 인턴,"경영분석.컨설팅, 서버.보안.네트워크.DB, 전자.제어.전기",신입 대졸(4년)↑,인턴직,서울 영등포구,,2026-12-17,https://job.career.co.kr/recruit/view/22100384,,2026-09-07 18:26:17
커리어,(주)도화엔지니어링,소방감리원 모집(보조),기계.전기.소방.설비,경력 5년 학력무관,계약직,전남 목포시,,상시채용,https://job.career.co.kr/recruit/view/22100383,,2026-09-07 18:26:17
커리어,메가존클라우드(주),Full-Stack Developer,"웹프로그래머, 응용프로그래머, 서버.보안.네트워크.DB, 시스템분석.설계.SE",경력 10년 학력무관,정규직,경기 과천시,,상시채용,https://job.career.co.kr/recruit/view/22100380,,2026-09-07 18:26:17
커리어,(주)진보화물자동차,500여명 기사님들의 신뢰 기업 [남양주 지역]화물 기사 모십니다/고정완제,배송.운전.택배,경력무관 학력무관,"정규직,",계약직 서울 전지역,,2026-10-15,https://job.career.co.kr/recruit/view/22070497,,2026-09-07 18:26:17
커리어,쿠팡로지스틱스서비스(유),[일최대19만/셔틀]쿠팡알바/당일/주말/단기/야간/오전/포장/물류,"구매.자재.재고, 유통.물류, 건물.시설관리.주차관리",경력무관 학력무관,아르바이트,경기 부천시,,2026-09-10,https://job.career.co.kr/recruit/view/21983707,,2026-09-07 18:26:17
커리어,헤드셋코리아(주),생산직 사원 모집(헤드셋 외 음향기기 부품 및 제품),"생산관리.품질관리, 생산.제조.조립.설비",경력무관 학력무관,정규직,경기 안산시 단원구,,상시채용,https://job.career.co.kr/recruit/view/22087673,,2026-09-07 18:26:17
커리어,(주)에이아이스마트,기술지원 영업사원 모집,기술영업(IT.솔루션),신입 학력무관,정규직,경기 시흥시,,2026-10-15,https://job.career.co.kr/recruit/view/22070494,,2026-09-07 18:26:17
커리어,새한정공,"복합CNC 경력자분과 초보자분(외국인가능), 센터레스 연마 경력자분 모집합니다.","생산관리.품질관리, 생산.제조.조립.설비, 기계.자동차.조선.철강",경력무관 학력무관,정규직,경기 군포시,,상시채용,https://job.career.co.kr/recruit/view/21837302,,2026-09-07 18:26:17
커리어,(주)도루코,해외영업(독일어) 경력사원 상시채용,"마케팅.브랜드, 무역.해외영업, 일반영업, 영업관리.영업지원",경력 3년 대졸(4년)↑,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22046080,,2026-09-07 18:26:17
커리어,(주)도루코,기계개발 신입사원 상시채용,"연구직.공학개발직, 생산.제조.조립.설비, 포장.검사.가공, 기계.자동차.조선.철강",신입 대졸(4년)↑,정규직,경기 용인시 처인구,,상시채용,https://job.career.co.kr/recruit/view/22042900,,2026-09-07 18:26:17
커리어,(주)도루코,로봇제어 개발엔지니어 경력사원 상시채용,"연구직.공학개발직, 서버.보안.네트워크.DB, 인공지능(AI).빅데이터, 기계.자동차.조선.철강, 전자.제어.전기",경력 5년 대졸(4년)↑,정규직,경기 용인시 처인구,,상시채용,https://job.career.co.kr/recruit/view/22042899,,2026-09-07 18:26:17
커리어,(주)도루코,생산관리 신입사원 상시채용,생산관리.품질관리,신입 대졸(4년)↑,정규직,경기 용인시 처인구,,상시채용,https://job.career.co.kr/recruit/view/22042898,,2026-09-07 18:26:17
커리어,메가존클라우드(주),해외자회사 회계 채용 (계약직),"경리.세무.회계, 재무.자금.IR, 특허.법무, 회계.세무.CPA, 금융.보험영업, 영업관리.영업지원",신입 학력무관,계약직,경기 과천시,,상시채용,https://job.career.co.kr/recruit/view/22057387,,2026-09-07 18:26:17
커리어,메가존클라우드(주),계약 관리 채용,"총무.법무.사무, 사무보조.문서작성, 금융.보험영업, 서버.보안.네트워크.DB",신입 학력무관,정규직,경기 과천시,,상시채용,https://job.career.co.kr/recruit/view/22057386,,2026-09-07 18:26:17
커리어,메가존클라우드(주),세무 전문가 채용,"경리.세무.회계, 재무.자금.IR, 금융.자산관리, 회계.세무.CPA",경력 10년 학력무관,정규직,경기 과천시,,상시채용,https://job.career.co.kr/recruit/view/22057385,,2026-09-07 18:26:17
커리어,메가존클라우드(주),자금 담당자 채용,재무.자금.IR,경력 3년 학력무관,정규직,경기 과천시,,상시채용,https://job.career.co.kr/recruit/view/22057384,,2026-09-07 18:26:17
커리어,한화시스템(주) ICT부문,[한화시스템/ICT] AI 인재Pool 등록,"서버.보안.네트워크.DB, 시스템분석.설계.SE, 인공지능(AI).빅데이터, 기계.자동차.조선.철강, 디스플레이.반도체, 화학.에너지.제약.식품",무관 년수무관 학력무관,"정규직,",계약직 서울 전지역,,2026-12-31,https://job.career.co.kr/recruit/view/22054186,,2026-09-07 18:26:17
커리어,노보텍아시아코리아(주),[Novotech] Clinical Research Associate PASS (PMS/OS) 채용,약사,경력 2년 대졸(4년)↑,정규직,서울 강남구,,2026-10-08,https://job.career.co.kr/recruit/view/22054182,,2026-09-07 18:26:17
커리어,(주)인라이플,[인라이플] 데이터 분석가,"리서치.조사분석.통계, 서버.보안.네트워크.DB, 인공지능(AI).빅데이터",경력 2년 학력무관,정규직,서울 구로구,,상시채용,https://job.career.co.kr/recruit/view/21923215,,2026-09-07 18:26:17
커리어,(주)컬리,[컬리] CRM 마케팅 리드,"마케팅.브랜드, 웹기획.웹마케팅.PM",경력 10년 학력무관,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22046086,,2026-09-07 18:26:17
커리어,(주)현대그린푸드,[현대그린푸드] 경력 영양사 상시채용,외식.식음료.요리,"경력 년수무관 대졸(2,3년)↑",정규직,전국 전지역,,상시채용,https://job.career.co.kr/recruit/view/21923223,,2026-09-07 18:26:17
커리어,아워박스(주),[경기 광주] 풀필먼트센터 전산사무직(신입/경력),"총무.법무.사무, 경리.세무.회계, 사무보조.문서작성, 구매.자재.재고",경력무관 학력무관,정규직,경기 광주시,,상시채용,https://job.career.co.kr/recruit/view/22039278,,2026-09-07 18:26:17
커리어,아워박스(주),[서울 구로] 아워박스 본사 영업&센터 운영지원(신입/경력),"일반영업, 영업관리.영업지원",무관 1년 학력무관,정규직,서울 구로구,,상시채용,https://job.career.co.kr/recruit/view/22039277,,2026-09-07 18:26:18
커리어,아워박스(주),[서울 구로] 아워박스 본사 물류기획/운영(신입/경력),"경영.전략.기획, 유통.물류, 시스템프로그래머, 서버.보안.네트워크.DB",경력 3년 대졸(4년)↑,정규직,서울 구로구,,상시채용,https://job.career.co.kr/recruit/view/22039276,,2026-09-07 18:26:18
커리어,(주)두잇,[(주)두잇] 운영 PO (Product Owner),"경영.전략.기획, 응용프로그래머, 서버.보안.네트워크.DB",경력 3년 학력무관,정규직,서울 관악구,,상시채용,https://job.career.co.kr/recruit/view/22039275,,2026-09-07 18:26:18
커리어,(주)두잇,[(주)두잇] Product Owner,"경영.전략.기획, 사무보조.문서작성, 리서치.조사분석.통계, 웹프로그래머, 응용프로그래머, 서버.보안.네트워크.DB",경력 3년 학력무관,정규직,서울 관악구,,상시채용,https://job.career.co.kr/recruit/view/22039272,,2026-09-07 18:26:18
커리어,(주)현대그린푸드,[현대그린푸드] 외식부분 홀서비스·판매 등 상시채용,"판매.매장관리, 외식.식음료.요리",경력 년수무관 학력무관,정규직,서울 전지역,,상시채용,https://job.career.co.kr/recruit/view/22039271,,2026-09-07 18:26:18
커리어,(주)바운스,[실내놀이공원] 바운스 신규오픈 영종 인스파이어센터 운영 관리자(매니저) 채용,판매.매장관리,무관 년수무관 학력무관,"정규직,",계약직 서울 노원구,,상시채용,https://job.career.co.kr/recruit/view/22039270,,2026-09-07 18:26:18
커리어,(주)컬리,[컬리] 커머스 백엔드 개발자 (홈/전시/광고),"웹기획.웹마케팅.PM, 웹디자인, 웹프로그래머, 서버.보안.네트워크.DB, HTML코딩.퍼블리셔, 산업.제품디자인, CG.그래픽디자인",경력 5년 학력무관,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22039269,,2026-09-07 18:26:18
커리어,(주)컬리,[컬리] 커머스 Product Manager (주문/클레임),"경영.전략.기획, CS.인바운드.고객센터, 웹기획.웹마케팅.PM, 시스템분석.설계.SE",경력 7년 학력무관,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22039268,,2026-09-07 18:26:18
커리어,(주)반프,[(주)반프] TEST 드라이버 (R&D),"생산.제조.조립.설비, 설치.정비.A/S","경력무관 대졸(2,3년)↑",정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22035436,,2026-09-07 18:26:18
커리어,(주)반프,[(주)반프] SW Engineer (R&D),"응용프로그래머, 시스템분석.설계.SE, 기계.자동차.조선.철강, 전자.제어.전기",무관 1년 대졸(4년)↑,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22035435,,2026-09-07 18:26:18
커리어,(주)반프,[(주)반프] HW Engineer (R&D),"기계.자동차.조선.철강, 전자.제어.전기",무관 1년 대졸(4년)↑,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22035434,,2026-09-07 18:26:18
커리어,(주)반프,[(주)반프] FW Engineer (R&D),"응용프로그래머, 인공지능(AI).빅데이터, 기계.자동차.조선.철강, 전자.제어.전기, 정보통신.네트워크",경력 3년 대졸(4년)↑,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22035433,,2026-09-07 18:26:18
커리어,(주)반프,[(주)반프] Data Engineer (R&D),"웹프로그래머, 응용프로그래머, 서버.보안.네트워크.DB, 인공지능(AI).빅데이터, 기계.자동차.조선.철강",경력 3년 석사학위↑,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22035432,,2026-09-07 18:26:18
커리어,(주)반프,[(주)반프] Backend Engineer (R&D),"서버.보안.네트워크.DB, 기계.자동차.조선.철강",경력 2년 학력무관,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22035431,,2026-09-07 18:26:18
커리어,(주)반프,[(주)반프] 품질 관리 (R&D),"사무보조.문서작성, 생산관리.품질관리, 기계.자동차.조선.철강",경력무관 학력무관,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22035430,,2026-09-07 18:26:18
커리어,(주)반프,[(주)반프] 생산 기술(R&D),"경영.전략.기획, 생산.제조.조립.설비, 기계.자동차.조선.철강",경력무관 학력무관,정규직,서울 강남구,,2026-10-01,https://job.career.co.kr/recruit/view/22035429,,2026-09-07 18:26:18
커리어,(주)반프,[(주)반프] 기구 Engineer(R&D),"기계.자동차.조선.철강, 기계설계.CAD.CAM",무관 1년 대졸(4년)↑,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/22035428,,2026-09-07 18:26:18
커리어,한솔섬유(주),[한솔섬유(주)] 국내원단생산팀 신입(인턴) 또는 경력(본사),"무역.해외영업, 생산관리.품질관리, 패션.의류디자인","무관 1년 대졸(2,3년)↑","정규직,",인턴직 서울 송파구,,상시채용,https://job.career.co.kr/recruit/view/22035427,,2026-09-07 18:26:18
커리어,(주)텔레칩스,[판교 사옥] BSP Driver Engineer,"응용프로그래머, 전자.제어.전기",경력 4년 대졸(4년)↑,정규직,경기 성남시 수정구,,상시채용,https://job.career.co.kr/recruit/view/22035424,,2026-09-07 18:26:18
커리어,(주)텔레칩스,[판교 사옥] 기능안전 기반 SW 개발자 (Functional Safety Software Engineer),"응용프로그래머, 전자.제어.전기",경력 3년 대졸(4년)↑,정규직,경기 성남시 수정구,,상시채용,https://job.career.co.kr/recruit/view/22035423,,2026-09-07 18:26:18
커리어,(주)텔레칩스,[판교 사옥] SoC Product Implementation Engineer (경력),"웹프로그래머, 시스템분석.설계.SE",경력 6년 학력무관,정규직,경기 성남시 수정구,,상시채용,https://job.career.co.kr/recruit/view/22035422,,2026-09-07 18:26:18
커리어,(주)텔레칩스,[판교 사옥] SoC Design Engineer (경력),"응용프로그래머, 시스템분석.설계.SE, 디스플레이.반도체, 전자.제어.전기",경력 1년 학력무관,정규직,경기 성남시 수정구,,상시채용,https://job.career.co.kr/recruit/view/22035421,,2026-09-07 18:26:18
커리어,(주)텔레칩스,[판교 사옥] Audio Engineer,"응용프로그래머, 전자.제어.전기",경력 1년 석사학위↑,정규직,경기 성남시 수정구,,2026-10-01,https://job.career.co.kr/recruit/view/22035419,,2026-09-07 18:26:18
커리어,(주)텔레칩스,[판교 사옥] Audio DSP Engineer,"응용프로그래머, 시스템프로그래머, 전자.제어.전기",경력 3년 학력무관,정규직,경기 성남시 수정구,,상시채용,https://job.career.co.kr/recruit/view/22035418,,2026-09-07 18:26:18
커리어,(주)현대경제연구원,[현대경제연구원] 중증 장애인 채용 (상시 인재풀),"총무.법무.사무, 사무보조.문서작성",경력무관 학력무관,계약직,서울 종로구,,상시채용,https://job.career.co.kr/recruit/view/22035417,,2026-09-07 18:26:18
커리어,메가스터디교육(주),[메가스터디교육] 학습 관리교사 채용,학습지.과외.방문,"경력무관 대졸(2,3년)↑",위촉직,서울 서초구,,상시채용,https://job.career.co.kr/recruit/view/22035416,,2026-09-07 18:26:18
커리어,엘티삼보 주식회사,[엘티삼보(주)] 토목 / 건축 기술 관리직 인재 DB 등록(상시),"생산관리.품질관리, 생산.제조.조립.설비, 건축설계.인테리어, 토목.측량.조경.환경, 기계.전기.소방.설비, 시공.현장.감리.공무",무관 년수무관 대졸(4년)↑,"정규직,",계약직 전국 전지역,,상시채용,https://job.career.co.kr/recruit/view/22035415,,2026-09-07 18:26:18
커리어,엘티삼보 주식회사,[엘티삼보(주)] 안전 / 경영지원 관리직 인재 DB 등록(상시),"경영.전략.기획, 총무.법무.사무, 경리.세무.회계, 재무.자금.IR, 인사.교육.HR, 구매.자재.재고, 생산관리.품질관리, 건축설계.인테리어, 시공.현장.감리.공무, 서버.보안.네트워크.DB",무관 년수무관 대졸(4년)↑,"정규직,",계약직 전국 전지역,,상시채용,https://job.career.co.kr/recruit/view/22035414,,2026-09-07 18:26:18
커리어,엘티삼보 주식회사,[엘티삼보(주)] 장비 / 정비 기능직 인재 DB 등록(상시),"배송.운전.택배, 생산.제조.조립.설비, 설치.정비.A/S, 시스템프로그래머",무관 년수무관 고졸↑,"정규직,",계약직 전국 전지역,,상시채용,https://job.career.co.kr/recruit/view/22035413,,2026-09-07 18:26:18
커리어,엘티삼보 주식회사,[엘티삼보(주)] 토목 / 건축 / 안전 기술 관리직 인재 DB 등록(상시),"건축설계.인테리어, 토목.측량.조경.환경, 기계.전기.소방.설비, 시공.현장.감리.공무",무관 년수무관 고졸↑,"정규직,",계약직 전국 전지역,,상시채용,https://job.career.co.kr/recruit/view/22035412,,2026-09-07 18:26:18
커리어,현대로템(주),[현대로템] 안전관리자 상시인재 Pool(전국),"총무.법무.사무, 생산관리.품질관리, 시공.현장.감리.공무","경력무관 대졸(2,3년)↑","정규직,",계약직 서울 전지역,,2026-12-31,https://job.career.co.kr/recruit/view/22035411,,2026-09-07 18:26:18
커리어,(주)컬리,서버 엔지니어,서버.보안.네트워크.DB,경력 10년 학력무관,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/21638063,,2026-09-07 18:26:18
커리어,(주)컬리,패션 컨텐츠 디자이너,마케팅.브랜드,경력 3년 학력무관,정규직,서울 강남구,,상시채용,https://job.career.co.kr/recruit/view/21853628,,2026-09-07 18:26:18
커리어,한국타이어앤테크놀로지,Engineering Talent Pool,기계.자동차.조선.철강,무관 년수무관 대졸(4년)↑,정규직,경기 성남시 분당구,,상시채용,https://job.career.co.kr/recruit/view/22032001,,2026-09-07 18:26:18
커리어,(주)이앤지시스템,[충남 당진시]현대로템 제철소 내 안전감시단 모집 / 중식제공,"생산관리.품질관리, 토목.측량.조경.환경, 기계.전기.소방.설비, 시공.현장.감리.공무, 경비.보안.경호, 건물.시설관리.주차관리",경력 1년 학력무관,계약직,충남 전지역,,2026-09-30,https://job.career.co.kr/recruit/view/22031994,,2026-09-07 18:26:18
커리어,DB손해보험(주),안정된 상담 영업-안정된 소득-DB손해서부TC-초보자 우대,금융.보험영업,무관 년수무관 고졸↑,위촉직,서울 마포구,,2026-09-24,https://job.career.co.kr/recruit/view/22018319,,2026-09-07 18:26:18
커리어,(주)대신산업관리,[삼성반도체 평택] 화재감시자 모집/초보가능/월 450만+/기숙사 제공,생산.제조.조립.설비,경력무관 학력무관,계약직,경기 평택시,,상시채용,https://job.career.co.kr/recruit/view/22014660,,2026-09-07 18:26:18
커리어,엣지시스템,[엣지시스템] MCT(머시닝센터) 가공 엔지니어 모집 (경력무관),"생산.제조.조립.설비, 디스플레이.반도체",경력무관 학력무관,정규직,경기 화성시,,2026-09-19,https://job.career.co.kr/recruit/view/22007556,,2026-09-07 18:26:18
커리어,엘앤피자동차코리아(주),[글로벌 자동차 부품사] CATIA 설계 엔지니어 경력 (부산),기계.자동차.조선.철강,경력 4년 대졸(4년)↑,정규직,부산 사상구,,2026-09-19,https://job.career.co.kr/recruit/view/22007553,,2026-09-07 18:26:18
커리어,경남지체장애인연합회,경상남도지체장애인협회 보조기기수리센터 수리기사 채용,의료직기타,경력무관 학력무관,계약직,경남 창원시 성산구,,2026-09-15,https://job.career.co.kr/recruit/view/21992983,,2026-09-07 18:26:18
커리어,한국타이어앤테크놀로지,R&D Talent Pool,연구직.공학개발직,무관 년수무관 대졸(4년)↑,정규직,경기 성남시 분당구,,2026-09-15,https://job.career.co.kr/recruit/view/21992980,,2026-09-07 18:26:18
커리어,(주)두잇,Backend Engineer,시스템분석.설계.SE,경력 1년 학력무관,정규직,서울 관악구,,2026-09-15,https://job.career.co.kr/recruit/view/21992979,,2026-09-07 18:26:18
커리어,쿠팡로지스틱스서비스(유),[월최대 450 가능] 쿠팡CLS 현장관리 및 사무 행정(경력무관) 채용,유통.물류,경력무관 학력무관,계약직,경기 전지역,,2026-12-31,https://job.career.co.kr/recruit/view/21623364,,2026-09-07 18:26:18
커리어,쿠팡로지스틱스서비스(유),[쿠팡CLS] 물류운영지원&사무(현장운영/관리/초보주부환영),유통.물류,경력무관 학력무관,계약직,전국 전지역,,2026-12-31,https://job.career.co.kr/recruit/view/21623365,,2026-09-07 18:26:18
커리어,쿠팡로지스틱스서비스(유),[4시간30분 근무] 쿠팡CLS 지게차(입출고 오퍼레이터) 채용,생산.제조.조립.설비,경력무관 학력무관,계약직,전국 전지역,,2026-12-31,https://job.career.co.kr/recruit/view/21623361,,2026-09-07 18:26:18
커리어,쿠팡로지스틱스서비스(유),[연최대3500만/현장사무보조]쿠팡CLS필드어드민채용(경력무관/초보가능),생산관리.품질관리,경력무관 학력무관,계약직,인천 전지역,,2026-12-31,https://job.career.co.kr/recruit/view/21623360,,2026-09-07 18:26:18
커리어,쿠팡로지스틱스서비스(유),[연최대3500만원가능/초보가능]쿠팡CLS필드어드민 채용(경력무관/현장운영보조),유통.물류,경력무관 학력무관,"정규직,",계약직 서울 전지역,,2026-12-31,https://job.career.co.kr/recruit/view/21623367,,2026-09-07 18:26:18
커리어,쿠팡로지스틱스서비스(유),[기본급최대406만] 알바관리자 채용(쿠팡CLS/헬퍼리더),유통.물류,경력무관 학력무관,"정규직,",계약직 인천 전지역,,2026-12-31,https://job.career.co.kr/recruit/view/21623366,,2026-09-07 18:26:18
커리어,(주)니프코코리아,경력사원 상시채용(인재DB) - GLOBAL영업,무역.해외영업,경력 2년 학력무관,정규직,울산 울주군,,2026-12-31,https://job.career.co.kr/recruit/view/21486679,,2026-09-07 18:26:18
커리어,충남대학교병원,[세종] 2023년도 계약직(조리사) 모집공고(상시),의료직기타,경력무관 학력무관,계약직,세종 전지역,,2026-01-31,https://job.career.co.kr/recruit/view/19635375,,2026-09-07 18:26:18
